Source;Target;Weight
0;1;0.014
0;2;0.002
0;3;0.002
0;4;0.004
5;6;0.012
5;7;0.006
5;8;0.002
5;9;0.002
5;10;0.002
5;11;0.002
5;12;0.002
5;13;0.002
5;14;0.002
5;15;0.002
16;17;0.002
18;19;0.006
20;21;0.002
20;22;0.002
20;23;0.006
20;24;0.004
20;25;0.004
26;27;0.01
26;28;0.006
29;30;0.012
29;31;0.002
29;32;0.01
29;33;0.002
34;35;0.004
34;36;0.006
34;13;0.01
34;37;0.034
34;4;0.016
34;38;0.002
34;39;0.002
34;40;0.002
34;41;0.008
34;42;0.008
34;43;0.008
34;44;0.002
34;1;0.006
34;45;0.004
34;46;0.002
34;47;0.002
34;48;0.002
34;49;0.004
34;50;0.002
34;51;0.002
34;52;0.002
34;53;0.002
54;4;0.002
55;56;0.004
55;57;0.004
55;58;0.004
55;59;0.004
55;60;0.002
61;4;0.004
61;62;0.01
61;38;0.002
13;63;0.02
13;64;0.036
13;65;0.008
13;4;0.024
13;6;0.008
13;51;0.016
13;37;0.042
13;35;0.004
13;36;0.02
13;8;0.008
13;66;0.002
13;44;0.01
13;67;0.01
13;68;0.002
13;43;0.004
13;40;0.002
13;50;0.002
13;69;0.012
13;70;0.002
13;71;0.002
13;72;0.002
13;73;0.002
13;49;0.004
13;74;0.002
13;75;0.008
13;76;0.004
13;47;0.002
77;78;0.002
79;80;0.01
79;4;0.012
79;81;0.002
79;82;0.002
79;83;0.002
79;84;0.004
79;85;0.004
79;6;0.006
79;86;0.004
79;87;0.002
25;88;0.002
25;89;0.002
25;11;0.002
25;24;0.01
25;23;0.004
25;90;0.002
36;35;0.004
36;4;0.002
36;64;0.004
36;91;0.002
36;40;0.002
92;93;0.002
92;94;0.006
92;59;0.008
92;95;0.002
92;96;0.002
92;97;0.002
98;30;0.004
98;99;0.004
98;32;0.004
100;101;0.004
100;89;0.004
100;102;0.004
103;67;0.002
104;105;0.026
104;106;0.004
104;107;0.006
104;108;0.002
104;109;0.002
104;110;0.004
104;111;0.008
112;113;0.004
114;115;0.002
114;116;0.004
117;70;0.002
118;119;0.004
118;120;0.002
121;122;0.004
121;123;0.004
63;64;0.02
63;65;0.006
63;4;0.018
63;6;0.002
124;4;0.01
124;125;0.004
124;6;0.002
124;126;0.008
124;127;0.002
124;128;0.002
124;129;0.004
124;130;0.002
124;40;0.002
131;132;0.004
131;94;0.004
131;133;0.004
131;134;0.004
131;96;0.002
135;6;0.002
135;136;0.006
135;137;0.002
138;139;0.002
138;70;0.002
140;141;0.002
140;142;0.002
143;144;0.004
145;4;0.006
145;146;0.022
145;40;0.004
145;147;0.002
145;148;0.004
149;150;0.004
149;151;0.002
148;146;0.006
148;4;0.002
148;40;0.002
152;153;0.01
152;75;0.01
152;154;0.004
152;155;0.002
152;6;0.002
152;156;0.002
152;157;0.002
158;4;0.01
158;45;0.008
158;46;0.002
159;160;0.002
161;37;0.004
51;37;0.02
51;67;0.008
51;43;0.006
51;62;0.002
51;162;0.002
51;50;0.002
163;164;0.004
163;165;0.004
110;109;0.004
110;105;0.004
110;136;0.002
110;166;0.002
110;32;0.002
167;120;0.002
167;139;0.002
142;168;0.002
142;46;0.002
142;86;0.002
142;70;0.002
142;4;0.004
142;141;0.002
169;30;0.004
169;99;0.004
169;32;0.004
170;171;0.004
76;4;0.002
76;87;0.002
76;30;0.004
76;166;0.002
76;32;0.002
76;24;0.004
76;90;0.004
76;75;0.004
76;47;0.002
15;172;0.002
15;173;0.002
15;12;0.002
15;14;0.002
15;6;0.002
174;175;0.002
174;176;0.004
177;4;0.006
177;24;0.002
177;178;0.002
177;179;0.002
177;180;0.002
177;90;0.004
177;166;0.002
177;32;0.002
177;6;0.002
177;181;0.002
177;182;0.002
183;184;0.002
183;185;0.004
183;186;0.002
187;188;0.004
187;189;0.01
187;190;0.006
187;4;0.004
187;191;0.002
187;192;0.002
187;193;0.002
194;195;0.002
196;197;0.002
196;198;0.004
199;200;0.002
199;46;0.002
201;139;0.002
201;4;0.002
48;45;0.012
48;47;0.002
48;1;0.002
48;37;0.002
202;203;0.002
204;189;0.002
205;139;0.002
205;45;0.002
205;4;0.002
120;4;0.002
120;139;0.01
120;6;0.004
120;206;0.002
120;207;0.002
120;40;0.002
120;208;0.002
120;209;0.002
210;211;0.002
190;188;0.004
190;189;0.016
190;4;0.002
190;212;0.002
190;83;0.002
188;189;0.004
213;6;0.002
213;12;0.002
213;172;0.002
213;4;0.002
213;214;0.002
85;215;0.002
85;46;0.002
85;40;0.012
85;6;0.02
85;216;0.024
85;4;0.006
85;147;0.002
85;217;0.002
85;218;0.002
85;219;0.01
85;220;0.006
85;221;0.016
85;222;0.008
85;223;0.008
85;224;0.002
85;86;0.006
85;225;0.002
85;226;0.002
85;111;0.002
85;42;0.002
227;64;0.004
227;228;0.004
227;4;0.002
229;4;0.002
225;111;0.002
225;230;0.004
225;216;0.002
225;6;0.002
94;59;0.006
94;231;0.002
94;132;0.004
94;133;0.004
94;134;0.004
232;233;0.002
232;234;0.002
178;4;0.002
178;179;0.002
178;180;0.002
178;90;0.004
178;24;0.002
178;182;0.002
178;235;0.002
236;6;0.002
236;4;0.002
236;139;0.002
237;238;0.002
125;4;0.002
6;239;0.004
6;87;0.018
6;240;0.002
6;139;0.056
6;241;0.002
6;242;0.002
6;4;0.068
6;40;0.01
6;216;0.014
6;12;0.044
6;64;0.014
6;243;0.004
6;30;0.002
6;126;0.002
6;224;0.01
6;244;0.004
6;245;0.004
6;168;0.002
6;246;0.002
6;247;0.006
6;248;0.002
6;249;0.002
6;116;0.002
6;219;0.002
6;220;0.002
6;250;0.002
6;251;0.002
6;46;0.006
6;52;0.002
6;66;0.002
6;37;0.004
6;1;0.052
6;212;0.002
6;2;0.038
6;252;0.004
6;253;0.006
6;254;0.004
6;255;0.044
6;256;0.004
6;257;0.008
6;258;0.01
6;259;0.002
6;260;0.002
6;261;0.01
6;156;0.012
6;262;0.01
6;172;0.004
6;200;0.002
6;43;0.002
6;263;0.002
6;206;0.008
6;70;0.012
6;264;0.014
6;86;0.008
6;62;0.006
6;73;0.008
6;222;0.002
6;223;0.002
6;155;0.004
6;8;0.002
6;47;0.002
6;265;0.002
6;226;0.002
6;266;0.002
6;267;0.002
6;157;0.002
6;268;0.002
6;269;0.004
6;270;0.002
6;271;0.002
6;272;0.002
6;273;0.002
6;102;0.002
6;182;0.008
6;90;0.002
6;181;0.002
6;24;0.002
6;179;0.002
6;14;0.002
217;274;0.002
73;275;0.002
73;276;0.002
73;71;0.004
73;72;0.002
96;244;0.002
96;59;0.002
96;97;0.008
96;277;0.002
96;278;0.002
96;279;0.002
96;56;0.002
96;280;0.002
96;281;0.002
96;282;0.002
96;283;0.002
96;284;0.002
113;285;0.004
113;286;0.002
283;284;0.002
262;30;0.002
262;45;0.008
262;287;0.006
262;4;0.006
262;14;0.004
262;288;0.002
262;261;0.01
262;64;0.01
262;156;0.008
262;258;0.008
262;289;0.004
262;42;0.004
290;238;0.004
290;291;0.002
290;22;0.002
290;292;0.002
290;171;0.002
290;4;0.006
290;139;0.004
290;242;0.004
290;191;0.002
290;293;0.002
290;294;0.002
295;22;0.002
86;4;0.002
86;46;0.002
86;70;0.002
86;155;0.004
86;172;0.004
86;12;0.004
86;62;0.004
86;40;0.004
86;281;0.002
86;296;0.002
86;1;0.002
198;132;0.008
297;298;0.002
299;250;0.002
300;139;0.002
300;165;0.002
300;301;0.002
302;303;0.01
302;78;0.008
302;119;0.004
302;33;0.006
302;166;0.002
302;32;0.002
304;97;0.002
304;165;0.002
304;305;0.002
128;126;0.002
128;129;0.002
248;246;0.018
248;168;0.018
248;306;0.004
248;307;0.004
248;249;0.02
248;116;0.024
248;247;0.002
248;52;0.004
308;70;0.002
308;47;0.004
309;310;0.004
309;70;0.004
309;311;0.018
309;312;0.018
309;313;0.006
314;315;0.002
316;317;0.002
33;30;0.002
33;119;0.004
40;318;0.002
40;89;0.006
40;4;0.022
40;319;0.004
40;216;0.012
40;224;0.002
40;221;0.006
40;139;0.028
40;219;0.002
40;146;0.004
40;220;0.002
40;37;0.004
40;171;0.002
40;320;0.002
40;223;0.002
40;206;0.002
40;321;0.004
40;182;0.006
40;258;0.006
40;91;0.002
40;322;0.002
40;102;0.004
40;245;0.004
40;241;0.002
40;323;0.002
40;126;0.002
40;130;0.002
40;324;0.002
40;62;0.004
40;261;0.002
240;139;0.002
240;241;0.002
240;242;0.002
325;326;0.002
274;219;0.004
274;42;0.002
274;238;0.002
274;203;0.004
327;91;0.002
327;4;0.002
328;329;0.006
328;70;0.002
330;263;0.002
330;241;0.006
330;139;0.006
330;242;0.004
330;331;0.002
332;333;0.002
27;28;0.006
27;334;0.016
27;335;0.002
52;251;0.002
52;46;0.002
52;116;0.006
52;37;0.002
336;266;0.004
336;337;0.01
336;139;0.01
336;242;0.008
336;241;0.006
35;4;0.012
35;47;0.012
35;338;0.002
35;339;0.002
340;333;0.002
245;139;0.01
245;4;0.008
245;241;0.002
245;261;0.002
341;342;0.002
343;22;0.002
343;344;0.002
337;266;0.004
337;139;0.01
337;242;0.008
337;241;0.006
75;4;0.002
75;345;0.002
75;154;0.006
75;153;0.012
75;47;0.004
346;347;0.008
348;155;0.002
348;306;0.002
348;349;0.002
348;156;0.002
126;4;0.004
126;127;0.002
126;129;0.002
126;130;0.002
350;214;0.006
350;228;0.006
185;351;0.006
185;186;0.002
352;353;0.002
354;212;0.002
355;224;0.002
355;139;0.002
355;70;0.002
356;17;0.008
285;146;0.004
285;203;0.002
99;30;0.01
99;32;0.008
357;208;0.002
357;209;0.002
358;268;0.018
70;4;0.006
70;37;0.002
70;30;0.002
70;310;0.01
70;311;0.002
70;329;0.002
70;206;0.002
70;69;0.002
70;224;0.004
70;139;0.012
70;223;0.002
70;255;0.014
70;359;0.002
70;303;0.002
70;46;0.002
70;251;0.002
70;264;0.004
70;269;0.002
70;360;0.002
70;312;0.002
319;318;0.002
319;89;0.004
319;4;0.004
319;322;0.002
319;102;0.002
291;4;0.008
291;171;0.02
291;238;0.01
291;22;0.002
291;292;0.004
291;249;0.002
291;347;0.01
291;361;0.01
153;154;0.006
362;360;0.002
362;46;0.002
39;38;0.002
39;37;0.002
81;82;0.002
72;253;0.004
72;71;0.01
363;264;0.006
363;364;0.002
363;365;0.002
83;84;0.002
83;4;0.002
83;212;0.002
83;189;0.002
317;366;0.002
317;46;0.002
317;17;0.008
367;368;0.002
369;335;0.002
207;91;0.008
107;105;0.018
107;106;0.01
107;370;0.002
107;108;0.002
107;109;0.002
371;144;0.002
372;373;0.004
38;37;0.002
38;224;0.002
38;4;0.002
38;238;0.002
38;171;0.002
38;374;0.002
38;139;0.002
115;116;0.02
115;12;0.002
115;4;0.002
351;375;0.008
244;4;0.004
244;224;0.002
244;139;0.004
228;64;0.004
228;4;0.002
228;214;0.006
376;377;0.002
376;378;0.002
376;379;0.002
376;380;0.002
310;311;0.004
310;4;0.002
310;312;0.004
310;381;0.004
43;37;0.012
43;200;0.02
43;382;0.002
43;156;0.02
43;258;0.004
43;233;0.002
43;50;0.002
383;384;0.002
223;221;0.01
223;222;0.01
223;216;0.002
223;224;0.002
223;139;0.002
321;139;0.024
321;242;0.002
321;241;0.002
321;4;0.004
321;385;0.002
321;258;0.022
321;182;0.014
59;386;0.004
59;95;0.002
59;56;0.004
59;57;0.004
59;58;0.004
59;60;0.002
387;182;0.002
387;4;0.002
387;139;0.002
387;258;0.002
388;389;0.004
388;203;0.002
134;132;0.004
134;133;0.004
88;89;0.002
88;11;0.002
88;384;0.004
88;186;0.004
91;4;0.002
390;238;0.006
390;249;0.026
390;349;0.004
391;30;0.006
391;31;0.006
391;32;0.006
392;361;0.002
11;89;0.002
11;7;0.002
11;9;0.002
11;10;0.002
11;12;0.002
353;393;0.004
353;203;0.004
41;10;0.002
41;4;0.008
41;37;0.008
41;42;0.008
14;253;0.002
14;173;0.004
14;288;0.002
132;133;0.004
394;1;0.006
394;64;0.004
105;106;0.01
105;370;0.002
105;108;0.004
105;109;0.004
263;1;0.002
263;4;0.002
263;241;0.004
263;139;0.004
263;212;0.002
395;384;0.002
395;382;0.002
396;397;0.002
296;281;0.004
296;1;0.004
322;239;0.004
322;4;0.006
