Source;Target;Weight
0;1;0.484
0;2;0.268
0;3;0.268
0;4;0.268
0;5;0.128
0;6;0.268
0;7;0.192
0;8;0.112
0;9;0.112
0;10;0.4
0;11;0.52
0;12;0.0154
0;13;0.0022
0;14;0.0022
0;15;0.0044
16;17;0.0132
16;18;0.0066
16;19;0.0022
16;20;0.0022
16;21;0.0022
16;22;0.0022
16;23;0.0022
16;24;0.0022
16;25;0.0022
16;26;0.0022
27;28;0.0022
29;30;1.0666
29;31;1.06
32;33;0.0022
32;34;0.0022
32;35;0.0066
32;36;0.0044
32;37;0.0044
38;39;2.554
38;40;0.552
38;41;1.14
42;43;0.852
42;44;0.342
42;45;1.065
42;46;0.732
42;47;0.779
42;48;0.558
42;49;0.558
42;50;0.618
42;51;0.588
42;52;0.22
42;53;0.0066
54;55;0.0132
54;56;0.0022
54;57;0.011
54;58;0.0022
59;10;0.354
59;60;1.17
59;61;0.45
59;62;0.354
59;63;0.384
59;64;1.172
59;65;0.444
59;66;0.354
59;67;0.324
59;68;0.572
59;1;0.352
59;69;1.45
59;12;0.356
59;70;0.924
59;71;1.64
59;2;0.798
59;72;1.255
59;73;0.324
59;74;1.751
59;3;0.882
59;75;1.413
59;76;0.436
59;77;0.384
59;4;1.726
59;5;1.393
59;78;2.155
59;79;1.286
59;13;0.324
59;80;1.77
59;81;0.519
59;82;1.062
59;83;1.593
59;6;0.927
59;84;1.644
59;85;0.38
86;87;0.0044
86;88;0.0066
86;24;0.011
86;89;0.0374
86;15;0.0176
86;90;0.0022
86;91;0.0022
86;92;0.0022
86;93;0.0088
86;94;0.0088
86;95;0.0088
86;96;0.0022
86;12;0.0066
86;97;0.0044
86;98;0.0022
86;99;0.0022
86;100;0.0022
86;101;0.0044
86;102;0.0022
86;103;0.0022
86;104;0.0022
86;105;0.0022
106;15;0.0022
107;108;0.38
107;109;0.96
107;110;0.0044
107;111;0.0044
107;112;0.0044
107;113;0.0044
107;114;0.0022
115;15;0.0044
115;116;0.011
115;90;0.0022
24;80;0.022
24;65;0.0396
24;117;0.0088
24;15;0.0264
24;17;0.0088
24;103;0.0176
24;89;0.0462
24;87;0.0044
24;88;0.022
24;19;0.0088
24;118;0.0022
24;96;0.011
24;119;0.011
24;120;0.0022
24;95;0.0044
24;92;0.0022
24;102;0.0022
24;121;0.0132
24;122;0.0022
24;123;0.0022
24;124;0.0022
24;125;0.0022
24;101;0.0044
24;126;0.0022
24;127;0.0088
24;128;0.0044
24;99;0.0022
129;130;0.0022
131;132;0.011
131;15;0.0132
131;133;0.0022
131;134;0.0022
131;135;0.0022
131;136;0.0044
131;137;0.0044
131;17;0.0066
131;138;0.0044
131;139;0.0022
37;48;0.0022
37;140;0.0022
37;22;0.0022
37;36;0.011
37;35;0.0044
37;141;0.0022
88;87;0.0044
88;15;0.0022
88;65;0.0044
88;142;0.0022
88;92;0.0022
143;144;1.31
143;145;1.1472
143;146;0.0066
143;113;0.0088
143;147;0.0022
143;148;0.0022
143;149;0.0022
150;55;0.0044
150;151;0.0044
150;57;0.0044
10;152;0.33
10;104;0.262
10;153;0.906
10;60;1.208
10;154;0.288
10;61;0.47
10;155;0.594
10;64;1.17
10;156;0.466
10;2;0.914
10;72;0.76
10;73;0.374
10;157;0.466
10;62;1.74
10;63;1.134
10;158;1.214
10;65;0.23
10;66;0.14
10;67;0.11
10;68;0.358
10;1;0.138
10;69;0.594
10;12;0.142
10;70;0.71
10;71;0.874
10;74;0.358
10;3;0.368
10;75;0.11
10;76;0.222
10;77;0.17
10;4;0.368
10;5;0.128
10;78;0.474
10;79;0.52
10;13;0.11
10;7;0.368
10;8;0.288
10;9;0.288
10;11;0.696
10;159;0.0044
10;140;0.0044
10;160;0.0044
161;119;0.0022
162;163;0.53
162;164;0.994
162;165;4.968
162;166;2.928
162;167;1.406
162;168;4.531
162;169;0.3
162;170;0.345
162;171;2.596
162;172;2.458
162;173;2.02
162;174;0.748
175;176;0.0286
175;2;0.0044
175;177;0.0066
175;178;0.0022
175;179;0.0022
175;180;0.0044
175;181;0.0088
182;137;0.236
182;183;0.48
182;184;0.24
182;41;0.456
182;185;0.8
182;186;0.0044
187;188;0.964
187;189;1.564
187;190;0.696
187;191;0.992
187;157;0.3722
187;52;0.202
187;192;0.19
187;193;0.184
187;104;0.226
187;155;0.0044
194;195;0.48
194;196;1.052
194;197;0.954
194;198;0.514
194;199;0.84
194;200;0.822
194;201;0.49
194;202;0.388
192;104;0.89
192;193;0.376
192;189;0.336
192;52;0.236
192;190;0.172
192;188;0.294
192;123;0.22
192;203;0.22
192;122;0.0022
204;205;0.75
204;206;0.962
204;207;0.972
204;208;0.806
204;209;0.688
204;210;0.688
204;211;0.244
204;11;0.54
204;212;0.146
204;48;0.188
204;213;0.128
204;214;0.156
215;193;0.668
215;216;0.89
215;189;0.52
215;152;0.986
215;52;0.32
215;217;0.48
218;219;0.0044
218;220;0.0022
195;197;0.706
195;200;1.268
195;221;1.004
195;199;0.622
195;222;0.42
195;223;0.192
195;196;0.436
195;198;0.286
224;225;3.576
224;213;0.352
224;226;1.1244
224;46;1.296
224;47;0.362
224;227;0.0044
80;65;0.962
80;228;1.198
80;72;1.924
80;229;0.334
80;76;0.218
80;77;0.628
80;6;2.17
80;78;3.286
80;79;1.224
80;13;0.946
80;203;0.162
80;67;0.624
80;230;0.408
80;100;0.36
80;69;0.468
80;81;1.878
80;82;2.664
80;3;0.708
80;25;1.11
80;231;0.225
80;232;0.18
80;62;0.2
80;83;3.46
80;5;2.1
80;71;1.086
80;74;2.34
80;75;2.16
80;4;1.782
80;84;3.252
80;117;0.0066
80;15;0.0198
80;17;0.0022
73;64;1.784
73;2;1.898
73;233;1.357
73;229;2.07
73;234;1.212
73;76;2.016
73;5;0.756
73;79;1.252
73;74;0.772
73;235;0.36
73;84;0.36
73;60;1.054
73;61;0.316
73;62;0.11
73;63;0.14
73;65;0.2
73;66;0.11
73;67;0.08
73;68;0.328
73;1;0.108
73;69;0.474
73;12;0.112
73;70;0.68
73;71;0.844
73;72;0.392
73;3;0.338
73;75;0.08
73;77;0.14
73;4;0.338
73;78;0.444
73;13;0.08
73;152;0.206
73;104;0.138
73;153;0.34
73;154;0.164
73;155;0.47
73;156;0.21
236;15;0.011
236;237;0.0044
236;17;0.0022
236;238;0.0088
236;239;0.0022
236;240;0.0022
236;241;0.0044
236;242;0.0022
236;92;0.0022
243;244;1.288
243;245;1.228
243;246;0.176
247;148;1.3722
247;248;0.495
247;249;0.81
247;250;0.0044
247;146;0.0044
247;251;0.0044
247;252;0.0044
253;254;0.47
253;17;0.0022
253;255;0.0066
253;256;0.0022
257;258;0.0022
257;122;0.0022
109;108;1.68
259;260;2.654
259;261;2.544
259;262;0.0022
259;263;0.0022
264;265;0.0044
266;15;0.0066
266;267;0.0242
266;92;0.0044
266;268;0.0022
266;269;0.0044
270;271;0.288
270;272;2.028
270;273;0.688
270;274;0.488
270;275;1.998
270;276;3.398
270;277;0.106
270;278;0.12
270;213;0.304
270;214;0.288
270;120;0.122
270;201;0.092
270;50;0.08
270;46;0.184
279;280;0.0044
279;281;0.0022
230;67;0.76
230;228;1.176
230;82;0.92
230;3;0.928
230;5;0.8
230;6;0.912
230;65;0.528
230;100;0.312
230;69;0.42
230;81;0.576
230;25;0.48
230;13;0.42
282;43;0.78
282;44;1.743
282;283;0.7
282;284;0.806
282;275;1.096
282;271;0.699
282;265;0.66
282;169;0.708
282;168;0.978
282;272;0.801
282;46;0.672
269;267;0.0066
269;15;0.0022
