Source;Target;Weight
6;2;3
7;2;6
8;3;9
10;2;27
11;0;10
12;3;18
13;0;29
14;2;23
14;5;14
15;3;2
16;2;3
16;5;3
17;2;12
17;5;9
19;3;19
22;2;11
22;5;6
23;1;10
23;2;3
23;5;7
24;3;5
25;3;10
26;2;6
27;2;6
27;5;3
29;2;6
30;3;9
31;2;3
32;2;15
35;3;3
35;5;12
36;4;41
37;1;15
39;3;22
40;5;12
41;1;65
43;5;17
44;1;3
44;2;14
44;3;3
44;5;47
45;2;12
45;5;3
46;2;21
46;5;10
47;2;6
48;3;3
51;0;3
52;1;29
53;1;9
53;2;12
53;5;9
54;2;13
54;5;5
55;1;15
56;3;19
57;1;3
57;2;14
57;5;3
58;2;9
58;5;6
59;2;14
59;5;12
60;3;3
61;2;9
61;5;3
62;0;1
62;2;5
62;3;3
62;5;2
