Source;Target;Weight
6;2;18
7;2;36
7;9;30
7;14;570
7;17;240
7;20;30
7;22;90
7;25;90
7;27;30
7;29;90
7;31;90
7;33;30
7;35;510
7;37;30
7;40;90
7;44;1080
7;46;60
7;54;450
7;57;60
7;58;330
7;59;390
7;61;90
8;3;54
8;11;20
8;12;10
8;13;330
8;18;30
8;24;200
8;25;10
8;33;310
8;34;60
8;36;50
8;48;10
8;56;50
9;7;30
9;14;750
9;15;60
9;17;500
9;19;60
9;20;10
9;22;510
9;23;180
9;25;30
9;27;10
9;29;90
9;31;90
9;33;10
9;35;410
9;37;10
9;40;50
9;44;1510
9;46;440
9;50;120
9;54;510
9;57;20
9;58;450
9;59;490
9;61;450
10;2;162
11;0;60
11;8;20
11;12;10
11;13;700
11;18;20
11;24;950
11;33;80
11;34;580
11;49;180
11;56;110
12;3;108
12;8;10
12;11;10
12;13;140
12;18;20
12;19;70
12;24;20
12;25;620
12;33;60
12;34;20
12;38;260
12;39;220
12;48;340
12;56;620
13;0;174
13;8;330
13;11;700
13;12;140
13;18;300
13;24;1020
13;25;10
13;33;1610
13;34;540
13;36;30
13;48;10
13;56;330
14;2;138
14;5;84
14;7;570
14;9;750
14;15;90
14;17;2150
14;19;90
14;20;330
14;22;1780
14;23;270
14;25;570
14;27;190
14;29;660
14;31;660
14;33;190
14;35;3930
14;37;190
14;40;600
14;44;9380
14;46;1360
14;50;250
14;54;3390
14;57;380
14;58;2900
14;59;3290
14;61;1200
15;3;12
15;9;60
15;14;90
15;17;70
15;19;810
15;21;190
15;22;80
15;23;30
15;24;60
15;25;300
15;29;10
15;31;10
15;35;30
15;39;10
15;44;140
15;46;70
15;48;150
15;50;20
15;54;60
15;58;40
15;59;60
15;61;70
16;2;18
16;5;18
16;19;150
16;23;10
16;39;10
16;48;40
16;53;90
16;57;110
16;60;10
17;2;72
17;5;54
17;7;240
17;9;500
17;14;2150
17;15;70
17;19;70
17;20;80
17;22;800
17;23;210
17;25;240
17;27;80
17;29;310
17;31;310
17;33;80
17;35;1570
17;37;80
17;40;240
17;44;3860
17;46;650
17;50;140
17;54;1620
17;57;160
17;58;1160
17;59;1460
17;61;730
18;8;30
18;11;20
18;12;20
18;13;300
18;24;70
18;28;90
18;33;300
18;34;240
18;36;10
18;40;210
18;56;60
19;3;114
19;9;60
19;12;70
19;14;90
19;15;810
19;16;150
19;17;70
19;22;80
19;23;170
19;24;750
19;25;880
19;29;10
19;30;70
19;31;10
19;35;30
19;38;40
19;39;2460
19;44;140
19;46;70
19;48;1980
19;50;20
19;53;350
19;54;60
19;56;310
19;57;110
19;58;40
19;59;60
19;60;730
19;61;70
20;7;30
20;9;10
20;14;330
20;17;80
20;22;170
20;25;30
20;27;10
20;29;30
20;31;30
20;33;10
20;35;250
20;37;10
20;40;30
20;44;600
20;46;120
20;50;20
20;54;150
20;57;20
20;58;170
20;59;210
20;61;30
21;15;190
21;25;1040
22;2;66
22;5;36
22;7;90
22;9;510
22;14;1780
22;15;80
22;17;800
22;19;80
22;20;170
22;23;240
22;25;90
22;27;30
22;29;170
22;31;170
22;33;30
22;35;1030
22;37;30
22;40;90
22;44;3040
22;46;970
22;50;230
22;54;930
22;57;60
22;58;860
22;59;1150
22;61;650
23;1;60
23;2;18
23;5;42
23;9;180
23;14;270
23;15;30
23;16;10
23;17;210
23;19;170
23;22;240
23;29;30
23;31;30
23;35;90
23;44;420
23;46;210
23;48;30
23;50;60
23;53;20
23;54;180
23;58;120
23;59;180
23;60;10
23;61;210
24;3;30
24;8;200
24;11;950
24;12;20
24;13;1020
24;15;60
24;18;70
24;19;750
24;25;230
24;33;1190
24;34;330
