Source;Target;Weight
6;2;0.18
7;2;0.36
7;9;0.003
7;14;0.057
7;17;0.024
7;20;0.003
7;22;0.009
7;25;0.009
7;27;0.003
7;29;0.009
7;31;0.009
7;33;0.003
7;35;0.051
7;37;0.003
7;40;0.009
7;44;0.108
7;46;0.006
7;54;0.045
7;57;0.006
7;58;0.033
7;59;0.039
7;61;0.009
8;3;0.54
8;11;0.002
8;12;0.001
8;13;0.033
8;18;0.003
8;24;0.02
8;25;0.001
8;33;0.031
8;34;0.006
8;36;0.005
8;48;0.001
8;56;0.005
9;7;0.003
9;14;0.0749999999999999
9;15;0.006
9;17;0.05
9;19;0.006
9;20;0.001
9;22;0.051
9;23;0.018
9;25;0.003
9;27;0.001
9;29;0.009
9;31;0.009
9;33;0.001
9;35;0.041
9;37;0.001
9;40;0.005
9;44;0.151
9;46;0.044
9;50;0.012
9;54;0.051
9;57;0.002
9;58;0.045
9;59;0.049
9;61;0.045
10;2;1.62
11;0;0.6
11;8;0.002
11;12;0.001
11;13;0.0699999999999999
11;18;0.002
11;24;0.0949999999999998
11;33;0.008
11;34;0.058
11;49;0.018
11;56;0.011
12;3;1.08
12;8;0.001
12;11;0.001
12;13;0.014
12;18;0.002
12;19;0.007
12;24;0.002
12;25;0.0619999999999999
12;33;0.006
12;34;0.002
12;38;0.026
12;39;0.022
12;48;0.034
12;56;0.0619999999999999
13;0;1.74
13;8;0.033
13;11;0.0699999999999999
13;12;0.014
13;18;0.03
13;24;0.102
13;25;0.001
13;33;0.161
13;34;0.054
13;36;0.003
13;48;0.001
13;56;0.033
14;2;1.38
14;5;0.84
14;7;0.057
14;9;0.0749999999999999
14;15;0.009
14;17;0.215
14;19;0.009
14;20;0.033
14;22;0.178
14;23;0.027
14;25;0.057
14;27;0.019
14;29;0.0659999999999999
14;31;0.0659999999999999
14;33;0.019
14;35;0.393000000000003
14;37;0.019
14;40;0.0599999999999999
14;44;0.93799999999999
14;46;0.136
14;50;0.025
14;54;0.339000000000002
14;57;0.038
14;58;0.290000000000001
14;59;0.329000000000002
14;61;0.12
15;3;0.12
15;9;0.006
15;14;0.009
15;17;0.007
15;19;0.0809999999999999
15;21;0.019
15;22;0.008
15;23;0.003
15;24;0.006
15;25;0.03
15;29;0.001
15;31;0.001
15;35;0.003
15;39;0.001
15;44;0.014
15;46;0.007
15;48;0.015
15;50;0.002
15;54;0.006
15;58;0.004
15;59;0.006
15;61;0.007
16;2;0.18
16;5;0.18
16;19;0.015
16;23;0.001
16;39;0.001
16;48;0.004
16;53;0.009
16;57;0.011
16;60;0.001
17;2;0.72
17;5;0.54
17;7;0.024
17;9;0.05
17;14;0.215
17;15;0.007
17;19;0.007
17;20;0.008
17;22;0.0799999999999999
17;23;0.021
17;25;0.024
17;27;0.008
17;29;0.031
17;31;0.031
17;33;0.008
17;35;0.157
17;37;0.008
17;40;0.024
17;44;0.386000000000003
17;46;0.0649999999999999
17;50;0.014
17;54;0.162
17;57;0.016
17;58;0.116
17;59;0.146
17;61;0.0729999999999999
18;8;0.003
18;11;0.002
18;12;0.002
18;13;0.03
18;24;0.007
18;28;0.009
18;33;0.03
18;34;0.024
18;36;0.001
18;40;0.021
18;56;0.006
19;3;1.14
19;9;0.006
19;12;0.007
19;14;0.009
19;15;0.0809999999999999
19;16;0.015
19;17;0.007
19;22;0.008
19;23;0.017
19;24;0.0749999999999999
19;25;0.0879999999999998
19;29;0.001
19;30;0.007
19;31;0.001
19;35;0.003
19;38;0.004
19;39;0.246000000000001
19;44;0.014
19;46;0.007
19;48;0.198
19;50;0.002
19;53;0.035
19;54;0.006
19;56;0.031
19;57;0.011
19;58;0.004
19;59;0.006
19;60;0.0729999999999999
19;61;0.007
20;7;0.003
20;9;0.001
20;14;0.033
20;17;0.008
20;22;0.017
20;25;0.003
20;27;0.001
20;29;0.003
20;31;0.003
20;33;0.001
20;35;0.025
20;37;0.001
20;40;0.003
20;44;0.0599999999999999
20;46;0.012
20;50;0.002
20;54;0.015
20;57;0.002
20;58;0.017
20;59;0.021
20;61;0.003
21;15;0.019
21;25;0.104
