Id;Label
n0;ESBM
n1;HV
n2;ISTUD
n3;MD
n4;Stål
n5;UL
n6;african studies
n7;arabiska
n8;arbetsvetenskap
n9;bild
n10;bildproduktion
n11;byggteknik
n12;datateknik
n13;energiteknik
n14;engelska
n15;entreprenörskap
n16;filosofi
n17;franska
n18;fysik
n19;företagsekonomi
n20;geografi
n21;grafisk teknologi
n22;historia
n23;idrotts- och hälsovetenskap
n24;industriell ekonomi
n25;informatik
n26;italienska
n27;japanska
n28;kemiteknik
n29;kinesiska
n30;kulturgeografi
n31;litteraturvetenskap
n32;ljud- och musikproduktion
n33;maskinteknik
n34;matematik
n35;matematikdidaktik
n36;materialteknik
n37;medicinsk vetenskap
n38;mikrodata
n39;nationalekonomi
n40;naturvetenskap
n41;omvårdnad
n42;pal
n43;pedagogik
n44;pedagogiskt arbete
n45;portugisiska
n46;religionsvetenskap
n47;ryska
n48;rättsvetenskap
n49;samhällsbyggnadsteknik
n50;samhällskunskap
n51;skogsteknik
n52;socialt arbete
n53;sociologi
n54;spanska
n55;srph
n56;statistik
n57;statsvetenskap
n58;svenska
n59;svenska som andraspråk
n60;turism
n61;tyska
n62;ämne saknas
